trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780257}",25,17,9.068104393561072,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-26.51402911497489,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",25,0,-243.24871953816933,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 5}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",25,0,-272.6477274230382,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",30,0,-51.16873258351053,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",35,10,-149.35152037458283,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",1
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",30,0,-141.5927300876759,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471655}",20,0,-164.83036722703167,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706645}",25,6,-64.14311821079147,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.1, 'e': 0.5403023058681398}",30,0,-70.5026938757277,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",25,8,-30.80011758409756,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",35,0,-29.596438798516125,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",20,7,-18.054878714928318,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",35,8,-38.64656803970857,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
